"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WOMENPOLVOICE","POLREPRES","PC","A","2017",28.7,
"AUS","WOMENPOLVOICE","POLREPRES","PC","A","2019",30,
"AUT","WOMENPOLVOICE","POLREPRES","PC","A","2017",30.6,
"AUT","WOMENPOLVOICE","POLREPRES","PC","A","2019",37.2,
"BEL","WOMENPOLVOICE","POLREPRES","PC","A","2017",38,
"BEL","WOMENPOLVOICE","POLREPRES","PC","A","2019",38,
"CAN","WOMENPOLVOICE","POLREPRES","PC","A","2017",26.3,
"CAN","WOMENPOLVOICE","POLREPRES","PC","A","2019",26.9,
"CZE","WOMENPOLVOICE","POLREPRES","PC","A","2017",20,
"CZE","WOMENPOLVOICE","POLREPRES","PC","A","2019",22.5,
"DNK","WOMENPOLVOICE","POLREPRES","PC","A","2017",37.4,
"DNK","WOMENPOLVOICE","POLREPRES","PC","A","2019",37.4,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2017",42,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2019",47,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2017",25.8,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2019",39.7,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2017",37,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2019",30.9,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2017",18.3,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2019",18.7,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2017",10.1,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2019",12.6,
"ISL","WOMENPOLVOICE","POLREPRES","PC","A","2017",47.6,
"ISL","WOMENPOLVOICE","POLREPRES","PC","A","2019",38.1,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2017",22.2,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2019",22.2,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2017",31,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2019",35.7,
"JPN","WOMENPOLVOICE","POLREPRES","PC","A","2017",9.3,
"JPN","WOMENPOLVOICE","POLREPRES","PC","A","2019",10.2,
"KOR","WOMENPOLVOICE","POLREPRES","PC","A","2017",17,
"KOR","WOMENPOLVOICE","POLREPRES","PC","A","2019",17.1,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2017",28.3,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"MEX","WOMENPOLVOICE","POLREPRES","PC","A","2017",42.6,
"MEX","WOMENPOLVOICE","POLREPRES","PC","A","2019",48.2,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2017",38,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2019",31.3,
"NZL","WOMENPOLVOICE","POLREPRES","PC","A","2017",34.2,
"NZL","WOMENPOLVOICE","POLREPRES","PC","A","2019",40,
"NOR","WOMENPOLVOICE","POLREPRES","PC","A","2017",39.6,
"NOR","WOMENPOLVOICE","POLREPRES","PC","A","2019",40.8,
"POL","WOMENPOLVOICE","POLREPRES","PC","A","2017",28,
"POL","WOMENPOLVOICE","POLREPRES","PC","A","2019",29.1,
"PRT","WOMENPOLVOICE","POLREPRES","PC","A","2017",34.8,
"PRT","WOMENPOLVOICE","POLREPRES","PC","A","2019",35.7,
"SVK","WOMENPOLVOICE","POLREPRES","PC","A","2017",20,
"SVK","WOMENPOLVOICE","POLREPRES","PC","A","2019",20,
"ESP","WOMENPOLVOICE","POLREPRES","PC","A","2017",39.1,
"ESP","WOMENPOLVOICE","POLREPRES","PC","A","2019",41.1,
"SWE","WOMENPOLVOICE","POLREPRES","PC","A","2017",43.6,
"SWE","WOMENPOLVOICE","POLREPRES","PC","A","2019",47.3,
"CHE","WOMENPOLVOICE","POLREPRES","PC","A","2017",32.5,
"CHE","WOMENPOLVOICE","POLREPRES","PC","A","2019",32.5,
"TUR","WOMENPOLVOICE","POLREPRES","PC","A","2017",14.9,
"TUR","WOMENPOLVOICE","POLREPRES","PC","A","2019",17.4,
"GBR","WOMENPOLVOICE","POLREPRES","PC","A","2017",30,
"GBR","WOMENPOLVOICE","POLREPRES","PC","A","2019",32,
"USA","WOMENPOLVOICE","POLREPRES","PC","A","2017",19.1,
"USA","WOMENPOLVOICE","POLREPRES","PC","A","2019",23.5,
"ALB","WOMENPOLVOICE","POLREPRES","PC","A","2019",27.9,
"DZA","WOMENPOLVOICE","POLREPRES","PC","A","2019",25.8,
"ARG","WOMENPOLVOICE","POLREPRES","PC","A","2019",38.9,
"ARM","WOMENPOLVOICE","POLREPRES","PC","A","2019",18.1,
"AZE","WOMENPOLVOICE","POLREPRES","PC","A","2019",16.8,
"BGD","WOMENPOLVOICE","POLREPRES","PC","A","2019",20.3,
"BLR","WOMENPOLVOICE","POLREPRES","PC","A","2019",34.5,
"BIH","WOMENPOLVOICE","POLREPRES","PC","A","2019",21.4,
"BRA","WOMENPOLVOICE","POLREPRES","PC","A","2019",10.7,
"BGR","WOMENPOLVOICE","POLREPRES","PC","A","2019",23.8,
"KHM","WOMENPOLVOICE","POLREPRES","PC","A","2019",20.3,
"CHL","WOMENPOLVOICE","POLREPRES","PC","A","2017",15.8,
"CHL","WOMENPOLVOICE","POLREPRES","PC","A","2019",22.6,
"CHN","WOMENPOLVOICE","POLREPRES","PC","A","2019",24.2,
"COL","WOMENPOLVOICE","POLREPRES","PC","A","2017",18.7,
"COL","WOMENPOLVOICE","POLREPRES","PC","A","2019",18.1,
"HRV","WOMENPOLVOICE","POLREPRES","PC","A","2019",18.5,
"CYP","WOMENPOLVOICE","POLREPRES","PC","A","2019",17.9,
"EGY","WOMENPOLVOICE","POLREPRES","PC","A","2019",14.9,
"EST","WOMENPOLVOICE","POLREPRES","PC","A","2017",26.7,
"EST","WOMENPOLVOICE","POLREPRES","PC","A","2019",28.7,
"ETH","WOMENPOLVOICE","POLREPRES","PC","A","2019",38.8,
"GEO","WOMENPOLVOICE","POLREPRES","PC","A","2019",16,
"GHA","WOMENPOLVOICE","POLREPRES","PC","A","2019",12.7,
"HTI","WOMENPOLVOICE","POLREPRES","PC","A","2019",2.5,
"IND","WOMENPOLVOICE","POLREPRES","PC","A","2019",11.8,
"IDN","WOMENPOLVOICE","POLREPRES","PC","A","2019",19.8,
"IRN","WOMENPOLVOICE","POLREPRES","PC","A","2019",5.9,
"ISR","WOMENPOLVOICE","POLREPRES","PC","A","2017",27.5,
"ISR","WOMENPOLVOICE","POLREPRES","PC","A","2019",29.2,
"KAZ","WOMENPOLVOICE","POLREPRES","PC","A","2019",27.1,
"LVA","WOMENPOLVOICE","POLREPRES","PC","A","2017",16,
"LVA","WOMENPOLVOICE","POLREPRES","PC","A","2019",31,
"LTU","WOMENPOLVOICE","POLREPRES","PC","A","2017",21.3,
"LTU","WOMENPOLVOICE","POLREPRES","PC","A","2019",21.3,
"MKD","WOMENPOLVOICE","POLREPRES","PC","A","2019",37.5,
"MYS","WOMENPOLVOICE","POLREPRES","PC","A","2019",10.4,
"MDA","WOMENPOLVOICE","POLREPRES","PC","A","2019",22.8,
"MOZ","WOMENPOLVOICE","POLREPRES","PC","A","2019",39.6,
"NGA","WOMENPOLVOICE","POLREPRES","PC","A","2019",5.6,
"PAK","WOMENPOLVOICE","POLREPRES","PC","A","2019",20.6,
"PRY","WOMENPOLVOICE","POLREPRES","PC","A","2019",13.8,
"PER","WOMENPOLVOICE","POLREPRES","PC","A","2019",27.7,
"PHL","WOMENPOLVOICE","POLREPRES","PC","A","2019",29.5,
"ROU","WOMENPOLVOICE","POLREPRES","PC","A","2019",20.7,
"RUS","WOMENPOLVOICE","POLREPRES","PC","A","2019",15.8,
"SAU","WOMENPOLVOICE","POLREPRES","PC","A","2019",19.9,
"SGP","WOMENPOLVOICE","POLREPRES","PC","A","2019",23,
"SVN","WOMENPOLVOICE","POLREPRES","PC","A","2017",36.7,
"SVN","WOMENPOLVOICE","POLREPRES","PC","A","2019",24.4,
"ZAF","WOMENPOLVOICE","POLREPRES","PC","A","2019",42.1,
"SDN","WOMENPOLVOICE","POLREPRES","PC","A","2019",30.5,
"TZA","WOMENPOLVOICE","POLREPRES","PC","A","2019",37.2,
"THA","WOMENPOLVOICE","POLREPRES","PC","A","2019",4.8,
"UKR","WOMENPOLVOICE","POLREPRES","PC","A","2019",12.3,
"ARE","WOMENPOLVOICE","POLREPRES","PC","A","2019",22.5,
"URY","WOMENPOLVOICE","POLREPRES","PC","A","2019",20.2,
"VNM","WOMENPOLVOICE","POLREPRES","PC","A","2019",26.7,
"ZMB","WOMENPOLVOICE","POLREPRES","PC","A","2019",18,
"SRB","WOMENPOLVOICE","POLREPRES","PC","A","2019",34.4,
"AFG","WOMENPOLVOICE","POLREPRES","PC","A","2019",27.7,
"AGO","WOMENPOLVOICE","POLREPRES","PC","A","2019",30.5,
"BHR","WOMENPOLVOICE","POLREPRES","PC","A","2019",7.5,
"BEN","WOMENPOLVOICE","POLREPRES","PC","A","2019",7.2,
"BTN","WOMENPOLVOICE","POLREPRES","PC","A","2019",8.5,
"BOL","WOMENPOLVOICE","POLREPRES","PC","A","2019",53.1,
"BWA","WOMENPOLVOICE","POLREPRES","PC","A","2019",9.5,
"BFA","WOMENPOLVOICE","POLREPRES","PC","A","2019",11,
"BDI","WOMENPOLVOICE","POLREPRES","PC","A","2019",36.4,
"CMR","WOMENPOLVOICE","POLREPRES","PC","A","2019",31.1,
"CAF","WOMENPOLVOICE","POLREPRES","PC","A","2019",8.6,
"TCD","WOMENPOLVOICE","POLREPRES","PC","A","2019",12.8,
"COG","WOMENPOLVOICE","POLREPRES","PC","A","2019",11.3,
"CRI","WOMENPOLVOICE","POLREPRES","PC","A","2017",35.1,
"CIV","WOMENPOLVOICE","POLREPRES","PC","A","2019",10.6,
"CUB","WOMENPOLVOICE","POLREPRES","PC","A","2019",48.9,
"COD","WOMENPOLVOICE","POLREPRES","PC","A","2019",8.9,
"DOM","WOMENPOLVOICE","POLREPRES","PC","A","2019",26.8,
"ECU","WOMENPOLVOICE","POLREPRES","PC","A","2019",38,
"SLV","WOMENPOLVOICE","POLREPRES","PC","A","2019",32.1,
"GNQ","WOMENPOLVOICE","POLREPRES","PC","A","2019",20,
"ERI","WOMENPOLVOICE","POLREPRES","PC","A","2019",22,
"FJI","WOMENPOLVOICE","POLREPRES","PC","A","2019",16,
"GAB","WOMENPOLVOICE","POLREPRES","PC","A","2019",17.1,
"GMB","WOMENPOLVOICE","POLREPRES","PC","A","2019",10.3,
"GTM","WOMENPOLVOICE","POLREPRES","PC","A","2019",12.7,
"GIN","WOMENPOLVOICE","POLREPRES","PC","A","2019",21.9,
"GNB","WOMENPOLVOICE","POLREPRES","PC","A","2019",13.7,
"HND","WOMENPOLVOICE","POLREPRES","PC","A","2019",21.1,
"IRQ","WOMENPOLVOICE","POLREPRES","PC","A","2019",25.3,
"JAM","WOMENPOLVOICE","POLREPRES","PC","A","2019",17.5,
"JOR","WOMENPOLVOICE","POLREPRES","PC","A","2019",15.4,
"KEN","WOMENPOLVOICE","POLREPRES","PC","A","2019",21.8,
"KWT","WOMENPOLVOICE","POLREPRES","PC","A","2019",3.1,
"KGZ","WOMENPOLVOICE","POLREPRES","PC","A","2019",19.2,
"LAO","WOMENPOLVOICE","POLREPRES","PC","A","2019",27.5,
"LBN","WOMENPOLVOICE","POLREPRES","PC","A","2019",3.1,
"LSO","WOMENPOLVOICE","POLREPRES","PC","A","2019",22.1,
"LBR","WOMENPOLVOICE","POLREPRES","PC","A","2019",9.9,
"LBY","WOMENPOLVOICE","POLREPRES","PC","A","2019",16,
"MDG","WOMENPOLVOICE","POLREPRES","PC","A","2019",19.2,
"MWI","WOMENPOLVOICE","POLREPRES","PC","A","2019",16.7,
"MLI","WOMENPOLVOICE","POLREPRES","PC","A","2019",8.8,
"MRT","WOMENPOLVOICE","POLREPRES","PC","A","2019",25.2,
"MUS","WOMENPOLVOICE","POLREPRES","PC","A","2019",11.6,
"MNG","WOMENPOLVOICE","POLREPRES","PC","A","2019",17.1,
"MAR","WOMENPOLVOICE","POLREPRES","PC","A","2019",20.5,
"MMR","WOMENPOLVOICE","POLREPRES","PC","A","2019",10.2,
"NAM","WOMENPOLVOICE","POLREPRES","PC","A","2019",41.3,
"NPL","WOMENPOLVOICE","POLREPRES","PC","A","2019",32.7,
"NIC","WOMENPOLVOICE","POLREPRES","PC","A","2019",45.7,
"NER","WOMENPOLVOICE","POLREPRES","PC","A","2019",17,
"PSE","WOMENPOLVOICE","POLREPRES","PC","A","2019",12.9,
"OMN","WOMENPOLVOICE","POLREPRES","PC","A","2019",1.2,
"PAN","WOMENPOLVOICE","POLREPRES","PC","A","2019",18.3,
"PNG","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"QAT","WOMENPOLVOICE","POLREPRES","PC","A","2019",9.8,
"RWA","WOMENPOLVOICE","POLREPRES","PC","A","2019",61.3,
"SEN","WOMENPOLVOICE","POLREPRES","PC","A","2019",41.8,
"SLE","WOMENPOLVOICE","POLREPRES","PC","A","2019",12.4,
"SOM","WOMENPOLVOICE","POLREPRES","PC","A","2019",24.4,
"LKA","WOMENPOLVOICE","POLREPRES","PC","A","2019",5.8,
"SWZ","WOMENPOLVOICE","POLREPRES","PC","A","2019",6.2,
"SYR","WOMENPOLVOICE","POLREPRES","PC","A","2019",13.2,
"TJK","WOMENPOLVOICE","POLREPRES","PC","A","2019",19,
"TLS","WOMENPOLVOICE","POLREPRES","PC","A","2019",32.3,
"TGO","WOMENPOLVOICE","POLREPRES","PC","A","2019",17.6,
"TTO","WOMENPOLVOICE","POLREPRES","PC","A","2019",31,
"TUN","WOMENPOLVOICE","POLREPRES","PC","A","2019",31.3,
"TKM","WOMENPOLVOICE","POLREPRES","PC","A","2019",25.8,
"UGA","WOMENPOLVOICE","POLREPRES","PC","A","2019",34.3,
"UZB","WOMENPOLVOICE","POLREPRES","PC","A","2019",16,
"VEN","WOMENPOLVOICE","POLREPRES","PC","A","2019",22.2,
"YEM","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"ZWE","WOMENPOLVOICE","POLREPRES","PC","A","2019",32.6,
"OAVG","WOMENPOLVOICE","POLREPRES","PC","A","2017",28.6,
"OAVG","WOMENPOLVOICE","POLREPRES","PC","A","2019",30.1,
"BRN","WOMENPOLVOICE","POLREPRES","PC","A","2019",9.1,
"HKG","WOMENPOLVOICE","POLREPRES","PC","A","2019",14.7,
"MLT","WOMENPOLVOICE","POLREPRES","PC","A","2019",11.9,
"TWN","WOMENPOLVOICE","POLREPRES","PC","A","2019",38.1,
"MNE","WOMENPOLVOICE","POLREPRES","PC","A","2019",23.5,
